id,symbol,name
01coin,zoc,01coin
0-5x-long-algorand-token,algohalf,0.5X Long Algorand Token
0-5x-long-altcoin-index-token,althalf,0.5X Long Altcoin Index Token
0-5x-long-balancer-token,balhalf,0.5X Long Balancer Token
0-5x-long-bitcoin-cash-token,bchhalf,0.5X Long Bitcoin Cash Token
0-5x-long-bitcoin-sv-token,bsvhalf,0.5X Long Bitcoin SV Token
0-5x-long-bitcoin-token,half,0.5X Long Bitcoin Token
0-5x-long-bnb-token,bnbhalf,0.5X Long BNB Token
0-5x-long-cardano-token,adahalf,0.5X Long Cardano Token
0-5x-long-chainlink-token,linkhalf,0.5X Long Chainlink Token
0-5x-long-compound-usdt-token,cusdthalf,0.5X Long Compound USDT Token
0-5x-long-cosmos-token,atomhalf,0.5X Long Cosmos Token
0-5x-long-defi-index-token,defihalf,0.5X Long DeFi Index Token
0-5x-long-dogecoin-token,dogehalf,0.5X Long Dogecoin Token
0-5x-long-dragon-index-token,drgnhalf,0.5X Long Dragon Index Token
0-5x-long-echange-token-index-token,exchhalf,0.5X Long Exchange Token Index Token
0-5x-long-eos-token,eoshalf,0.5X Long EOS Token
0-5x-long-ethereum-classic-token,etchalf,0.5X Long Ethereum Classic Token
0-5x-long-ethereum-token,ethhalf,0.5X Long Ethereum Token
0-5x-long-kyber-network-token,knchalf,0.5X Long Kyber Network Token
0-5x-long-matic-token,matichalf,0.5X Long Matic Token
0-5x-long-midcap-index-token,midhalf,0.5X Long Midcap Index Token
0-5x-long-okb-token,OKBHALF,0.5X Long OKB Token
0-5x-long-pax-gold-token,PAXGHALF,0.5X Long PAX Gold Token
0-5x-long-privacy-index-token,privhalf,0.5X Long Privacy Index Token
0-5x-long-shitcoin-index-token,halfshit,0.5X Long Shitcoin Index Token
0-5x-long-swipe-token,sxphalf,0.5X Long Swipe Token
0-5x-long-tether-gold-token,xauthalf,0.5X Long Tether Gold Token
0-5x-long-tezos-token,xtzhalf,0.5X Long Tezos Token
0-5x-long-theta-network-token,thetahalf,0.5X Long Theta Network Token
0-5x-long-xrp-token,xrphalf,0.5X Long XRP Token
0cash,zch,0cash
0chain,zcn,0chain
0x,zrx,0x
0xcert,zxc,0xcert
0xmonero,0xmr,0xMonero
100-waves-eth-btc-set,100wratio,100 Waves ETH/BTC Set
100-waves-eth-usd-yield-set,100w,100 Waves ETH/USD Yield Set
12ships,TSHP,12Ships
1337,1337,Elite
1ai,1ai,1AI
1clicktoken,1ct,1ClickToken
1inch,1inch,1inch
1irstgold,1gold,1irstGold
1million-token,1mt,1Million Token
1world,1wo,1World
1x-long-btc-implied-volatility-token,bvol,Bitcoin Volatility Token
1x-short-algorand-token,algohedge,1X Short Algorand Token
1x-short-bitcoin-cash-token,bchhedge,1X Short Bitcoin Cash Token
1x-short-bitcoin-token,hedge,1X Short Bitcoin Token
1x-short-bnb-token,bnbhedge,1X Short BNB Token
1x-short-btc-implied-volatility,ibvol,Inverse Bitcoin Volatility Token
1x-short-cardano-token,adahedge,1X Short Cardano Token
1x-short-chainlink-token,LINKHEDGE,1X Short Chainlink Token
1x-short-compound-token-token,comphedge,1X Short Compound Token Token
1x-short-compound-usdt-token,cusdthedge,1X Short Compound USDT Token
1x-short-cosmos-token,atomhedge,1X Short Cosmos Token
1x-short-defi-index-token,defihedge,1X Short DeFi Index Token
1x-short-dogecoin-token,dogehedge,1X Short Dogecoin Token
1x-short-eos-token,eoshedge,1X Short EOS Token
1x-short-ethereum-classic-token,etchedge,1X Short Ethereum Classic Token
1x-short-ethereum-token,ethhedge,1X Short Ethereum Token
1x-short-exchange-token-index-token,exchhedge,1X Short Exchange Token Index Token
1x-short-leo-token,leohedge,1X Short LEO Token
1x-short-litecoin-token,ltchedge,1X Short Litecoin Token
1x-short-matic-token,matichedge,1X Short Matic Token
